,@type,author.@type,author.image,author.name,author.url,claimReviewed,datePublished,itemReviewed.@type,itemReviewed.author.@type,itemReviewed.author.image,itemReviewed.author.jobTitle,itemReviewed.author.name,itemReviewed.datePublished,itemReviewed.name,reviewRating.@type,reviewRating.alternateName,reviewRating.bestRating,reviewRating.image,reviewRating.ratingValue,reviewRating.worstRating,url
54,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,"Türkiye’de 2009’dan bu yana 100 olan milli gelir nispet olarak 120’ye çıktı, aynı dönemde Avrupa’da 100’den 98’e geriledi, negatif büyüme var.",2014-12-10,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/ahmet-davutoglu/orig.png,Konya Milletvekili,Ahmet  Davutoğlu,1970-01-01,T.B.M.M.,Rating,Doğruluk Payı Yoktur,10,http://www.dogrulukpayi.com/web/assets/img/kadran/0.png?v3.1.03,1,0,http://www.dogrulukpayi.com/iddia-kontrolu/ahmet-davutoglu/turkiye-de-2009-dan-bu-yana-100-olan-milli-gelir
55,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,2009 yılından beri İsrail’le en yüksek ticaret yaşandı.,2014-07-20,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/selahattin-demirtas/orig.png,Eş Genel Başkanı,Selahattin  Demirtaş,1970-01-01,Facebook hesabı,Rating,Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/4.png?v3.1.03,10,0,http://www.dogrulukpayi.com/iddia-kontrolu/selahattin-demirtas/2009-yilindan-beri-israil-le-en-yuksek-ticaret-yasandi
56,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Eşcinseller kan verme konusunda risk grubundadır. AIDS virüsü eşcinsellerde yoğun olarak gözükür&quot;,2014-12-22,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/ahmet-lutfi-akar/orig.png,Türk Kızılayı Genel Başkanı,Ahmet Lütfi  Akar,1970-01-01,Beyaz TV,Rating,Doğruluk Payı Yoktur,10,http://www.dogrulukpayi.com/web/assets/img/kadran/0.png?v3.1.03,1,0,http://www.dogrulukpayi.com/iddia-kontrolu/ahmet-lutfi-akar/escinseller-kan-verme-konusunda-risk-grubundadir-aids-virusu-escinsellerde-yogun
57,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,"2013 yılında, madde bağımlığına bağlı olarak bir yılda tam 325 kişi hayatını kaybetmiş ve bu 325 kişiden 5&#039;i 15 yaşın altında olan yaş grubunu içeriyor.",2014-08-13,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/idris-baluken/orig.png,Grup Başkanvekili,İdris   Baluken,1970-01-01,TBMM,Rating,Kısmen Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/2.png?v3.1.03,5,0,http://www.dogrulukpayi.com/iddia-kontrolu/idris-baluken/2013-yilinda-madde-bagimligina-bagli-olarak-bir-yilda-tam-325
58,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,"İstanbul, Şangay ve Bombay&#039;ın ardından &#039;en kirli kentler&#039;den biri...",2014-11-26,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/kemal-kilicdaroglu/orig.png,Genel Başkanı,Kemal  Kılıçdaroğlu,1970-01-01,İstanbul,Rating,Doğruluk Payı Yoktur,10,http://www.dogrulukpayi.com/web/assets/img/kadran/0.png?v3.1.03,1,0,http://www.dogrulukpayi.com/iddia-kontrolu/kemal-kilicdaroglu/istanbul-sangay-ve-bombay-in-ardindan-en-kirli-kentler-den
59,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,2002 yılında 59 bin 429 olan toplam hükümlü ve tutuklu sayısı 2014&#039;de yüzde 300’e yakın arttı.,2014-10-23,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/mahmut-tanal/orig.png,İstanbul Milletvekili,Mahmut  Tanal,1970-01-01,Twit,Rating,Kısmen Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/2.png?v3.1.03,5,0,http://www.dogrulukpayi.com/iddia-kontrolu/mahmut-tanal/2002-yilinda-59-bin-429-olan-toplam-hukumlu-ve-tutuklu
60,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,İnternet üzerinden alışveriş oranı 1 senede yüzde 24’lerden yüzde 30.8’e yükseldi,2014-10-23,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/nurettin-canikli/orig.png,Başbakan Yardımcısı,Nurettin  Canikli,1970-01-01,TBMM,Rating,Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/4.png?v3.1.03,10,0,http://www.dogrulukpayi.com/iddia-kontrolu/nurettin-canikli/internet-uzerinden-alisveris-orani-1-senede-yuzde-24-lerden-yuzde
61,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Daha önce 11-12 milyon civarında turist gelirken AK Parti&#039;nin ülkeyi marka haline getirmesinin neticesinde bunu 36 milyona ulaştırdık.,2014-06-27,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/emrullah-isler/orig.png,Ankara Milletvekili,Emrullah   İşler,1970-01-01,Amasya,Rating,Büyük Oranda Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/3.png?v3.1.03,7,0,http://www.dogrulukpayi.com/iddia-kontrolu/emrullah-isler/daha-once-11-12-milyon-civarinda-turist-gelirken-ak-parti
62,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,...şu ana kadar yaptığımız derslik sayısı neredeyse 250 bine ulaşıyor.,2014-07-08,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/recep-tayyip-erdogan/orig.png,Cumhurbaşkanı,Recep Tayyip Erdoğan,1970-01-01,Denizli,Rating,Büyük Oranda Doğruluk Payı Yoktur,10,http://www.dogrulukpayi.com/web/assets/img/kadran/1.png?v3.1.03,3,0,http://www.dogrulukpayi.com/iddia-kontrolu/recep-tayyip-erdogan/su-ana-kadar-yaptigimiz-derslik-sayisi-neredeyse-250-bine-ulasiyor
63,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,"(FATİH projesi hakkında)10 milyon, 15 milyon tablet dağıtacağız.&quot; diye yola çıkanlar 40 bin tablet dağıttılar",2014-06-24,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/erdal-aksunger/orig.png,İzmir Milletvekili,Erdal  Aksünger,1970-01-01,TBMM Genel Kurulu,Rating,Büyük Oranda Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/3.png?v3.1.03,7,0,http://www.dogrulukpayi.com/iddia-kontrolu/erdal-aksunger/fatih-projesi-hakkinda-10-milyon-15-milyon-tablet-dagitacagiz-diye
