,author.properties.image,author.properties.name,author.properties.url,author.type,claimReviewed,datePublished,itemReviewed.properties.author.properties.jobTitle,itemReviewed.properties.author.properties.name,itemReviewed.properties.author.properties.sameAs,itemReviewed.properties.author.type,itemReviewed.properties.datePublished,itemReviewed.properties.image,itemReviewed.properties.name,itemReviewed.type,reviewRating.properties.alternateName,reviewRating.properties.bestRating,reviewRating.properties.image,reviewRating.properties.ratingValue,reviewRating.properties.worstRating,reviewRating.type,sameAs,url
49,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Secretary of the Interior Ryan Zinke posed with an elephant he shot.,2017-12-04 17:43:34 UTC,One of several Cecil the Lion pages,A Facebook page,https://www.facebook.com/Cecil-the-Lion-130711123934688/,http://schema.org/Person,2017-11-22,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,Facebook,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,http://cf.factcheck.org/2017/12/false-caption-dead-elephant-photo/
50,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,"""Hillary Clinton lied many times to the FBI.""",2017-12-04 22:32:15 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2017-12-04,https://cdn.factcheck.org/UploadedFiles/Trump-new-widget.png,White House,http://schema.org/CreativeWork,No Evidence,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/noevidence.png,5,1,http://schema.org/Rating,,http://www.factcheck.org/2017/12/factchecking-trumps-criticism-fbi/
51,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“The Clinton Foundation doesn’t exist anymore.”,2017-12-06 21:44:20 UTC,Counselor to the President,Kellyanne Conway,https://www.whitehouse.gov/,http://schema.org/Person,2017-12-04,https://www.factcheck.org/UploadedFiles/2017/12/Conway.png,“Fox and Friends”,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/12/conways-misguided-postmortem/
52,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“Sharia law now legal in all 50 states.”,2017-12-06 21:24:12 UTC,–,Various websites,reaganwasright.com,http://schema.org/Person,2017-11-28,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/12/sham-sharia-stories/
53,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“Sharia law now in full effect in one state after what judge gave Muslim rapist special permission to do.”,2017-12-06 21:31:03 UTC,Website,Freedom Daily,freedomdaily.com,http://schema.org/Person,2017-11-30,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/12/sham-sharia-stories/
54,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,"The National Science Foundation “provides financial support to more than twice as many graduate students in the social and behavioral sciences as in computer science, mathematics or material science.”",2017-12-07 16:06:18 UTC,"Chairman, House science committee",Rep. Lamar Smith,https://lamarsmith.house.gov/,http://schema.org/Person,2017-11-30,https://www.factcheck.org/UploadedFiles/2015/11/lamarsmith_noaa.png,Roll Call op-ed,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/12/smith-wrong-nsf-funding/
55,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,"Roy Moore, who has been accused of sexual misconduct with teenage girls, is running for the U.S. Senate in Alabama “with the full support of his party.”",2017-12-07 21:37:14 UTC,U.S. Senator,Al Franken,https://www.franken.senate.gov/,http://schema.org/Person,2017-12-07,https://www.factcheck.org/UploadedFiles/2017/12/Franken.png,Senate floor speech,http://schema.org/CreativeWork,Exaggerates,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/exag.png,8,1,http://schema.org/Rating,,https://www.factcheck.org/2017/12/al-franken-gop-support-roy-moore/
56,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“Kevin Bacon: ‘We are blessed to have Donald Trump as our president.'”,2017-12-08 18:57:00 UTC,–,Various websites,http://theconservativeonline.info,http://schema.org/Person,2017-12-03,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/12/kevin-bacon-isnt-trump-supporter/
57,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Called the Diversity Immigrant Visa Program “a Chuck Schumer beauty.”,2017-11-01 22:53:54 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2017-11-01,https://www.factcheck.org/UploadedFiles/2017/01/Trump-new-widget.png,Twitter,http://schema.org/CreativeWork,Not the Whole Story,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/notthewholestory.png,4,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/schumer-diversity-visa-lottery/
58,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“Muslim judge rules Muslim man can marry 9-year-old girl in Montana.”,2017-11-06 18:55:16 UTC,Website,Freedum Junkshun,freedumjunkshun.com,http://schema.org/Person,2017-10-25,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/no-muslim-child-marriage-montana/
