category,Original Text,Confidence,Context,Context,Argument 1,Argument 1,Relation,Relation,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Claim Id
type(Argument 2),,,,,,,,,SimpleArgument #1,SimpleArgument #1,SimpleArgument #2,SimpleArgument #2,SimpleArgument #3,SimpleArgument #3,SimpleArgument #4,SimpleArgument #4,TemporalArgument #1,TemporalArgument #1,TemporalArgument #2,TemporalArgument #2,TemporalArgument #3,TemporalArgument #3,SpatialArgument #1,SpatialArgument #1,SpatialArgument #2,SpatialArgument #2,
datatype,,,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,
2744,"""The U.S. government was sued and found culpable for the murder of Martin Luther King, Jr., but the news media refused to report it.""",0.3808531264769592,,,Jr,"(54, 56)",(is] Luther King (of],"(40, 51)",Martin,"(33, 39)",,,,,,,,,,,,,,,,,1266
2745,"""The U.S. government was sued and found culpable for the murder of Martin Luther King, Jr., but the news media refused to report it.""",0.8034186648553394,,,The U.S. government,"(6, 25)",was sued,"(26, 34)",,,,,,,,,,,,,,,,,,,1266
2746,"""David Hogg said that generations that came before his don't know what it's like to get shot at by AR-15s.""",0.5264558301022617,,,it,"(73, 75)",get,"(86, 89)",shot at by AR-15s,"(90, 107)",,,,,,,,,,,,,,,,,1267
2747,"""David Hogg said that generations that came before his don't know what it's like to get shot at by AR-15s.""",0.4576690213380217,his do n't know,"(53, 67)",it,"(73, 75)",'s,"(75, 77)",to get shot at by AR-15s,"(83, 107)",,,,,,,,,,,,,,,,,1267
2748,"""David Hogg said that generations that came before his don't know what it's like to get shot at by AR-15s.""",0.3991576880142734,,,his,"(53, 56)",do n't know,"(57, 67)",what it's like to get shot at by AR-15s,"(68, 107)",,,,,,,,,,,,,,,,,1267
2749,"""David Hogg said that generations that came before his don't know what it's like to get shot at by AR-15s.""",0.8821722395369578,,,generations,"(24, 35)",came,"(41, 45)",before his don't know what it's like to get shot at by AR-15s,"(46, 107)",,,,,,,,,,,,,,,,,1267
2750,"""David Hogg said that generations that came before his don't know what it's like to get shot at by AR-15s.""",0.7877083798986204,,,David Hogg,"(3, 13)",said,"(14, 18)",,,,,,,,,,,,,,,,,,,1267
2781,"""The boots on Neil Armstrong's spacesuit don't match up with the ""footprints"" supposedly he left on the moon.""",0.861803099174675,,,the footprints,"(63, 79)",supposedly left,"((82, 92), (96, 100))",,,,,,,,,on the moon,"(101, 112)",,,,,,,,,1285
2782,"""The boots on Neil Armstrong's spacesuit don't match up with the ""footprints"" supposedly he left on the moon.""",0.8574573575169667,,,The boots on Neil Armstrong's spacesuit,"(3, 42)",do n't match up,"(43, 57)",,,,,,,,,,,,,,,,,,,1285
2803,"""Calling #77 or 112 on your cell phone will connect you to emergency services no matter where you are.""",0.5779326273391533,,,Calling 112 on your cell phone,"(6, 36)",will connect no matter,"((37, 49), (76, 85))",you,"(50, 53)",,,,,,,,,,,,,,,,,1295
2804,"""Calling #77 or 112 on your cell phone will connect you to emergency services no matter where you are.""",0.5779326273391533,,,Calling 112 on your cell phone,"(6, 36)",will connect no matter,"((37, 49), (76, 85))",you,"(50, 53)",,,,,,,,,,,,,,,,,6725
2805,"""Calling #77 or 112 on your cell phone will connect you to emergency services no matter where you are.""",0.3198909572915085,,,you,"(93, 96)",are,"(97, 100)",,,,,,,,,,,,,,,,,,,1295
2806,"""Calling #77 or 112 on your cell phone will connect you to emergency services no matter where you are.""",0.3198909572915085,,,you,"(93, 96)",are,"(97, 100)",,,,,,,,,,,,,,,,,,,6725
2807,"""Calling #77 or 112 on your cell phone will connect you to emergency services no matter where you are.""",0.6013096528447518,,,Calling # 77 on your cell phone,"(6, 37)",will connect no matter,"((38, 50), (77, 86))",you,"(51, 54)",,,,,,,,,,,,,,,,,1295
2808,"""Calling #77 or 112 on your cell phone will connect you to emergency services no matter where you are.""",0.6013096528447518,,,Calling # 77 on your cell phone,"(6, 37)",will connect no matter,"((38, 50), (77, 86))",you,"(51, 54)",,,,,,,,,,,,,,,,,6725
2901,"""Emma González, a survivor of the Parkland school shooting, was filmed ripping up a copy of the U.S. Constitution.""",0.4953178616921359,,,Emma González,"(3, 16)",(is] a survivor of,"(18, 31)",the Parkland school shooting,"(32, 60)",,,,,,,,,,,,,,,,,1331
2902,"""Emma González, a survivor of the Parkland school shooting, was filmed ripping up a copy of the U.S. Constitution.""",0.7582513716504754,,,Emma González,"(3, 16)",was filmed,"(62, 72)",,,,,,,,,,,,,,,,,,,1331
2998,"""A children's radio show host, thinking that his microphone had been turned off, wrapped up his broadcast one evening by inadvertently blurting out over the air, ""There, that oughta hold the little bastards!""""",0.2851202267586275,"A children 's radio show host , thinking that his microphone had been turned off , wrapped up","(3, 93)",his microphone,"(47, 61)",had been turned off,"(62, 81)",,,,,,,,,,,,,,,,,,,1371
2999,"""A children's radio show host, thinking that his microphone had been turned off, wrapped up his broadcast one evening by inadvertently blurting out over the air, ""There, that oughta hold the little bastards!""""",0.638829411913828,"A children 's radio show host , thinking that his microphone had been turned off , wrapped up","(3, 93)",A children's radio show host,"(3, 31)",thinking,"(33, 41)",that his microphone had been turned off,"(42, 81)",,,,,,,,,,,,,,,,,1371
3000,"""A children's radio show host, thinking that his microphone had been turned off, wrapped up his broadcast one evening by inadvertently blurting out over the air, ""There, that oughta hold the little bastards!""""",0.7402780662330465,,,"A children's radio show host, thinking that his microphone had been turned off,","(3, 82)",wrapped up,"(83, 93)",his broadcast one evening,"(94, 119)",,,,,,,,,,,,,,,,,1371
3042,"""Toys R Us is closing all stores and gift cards are soon-to-be or no longer have value.""",0.5704736273166627,,,Toys R Us is closing gift cards,"(6, 37)",are to be,"((38, 41), (49, 51), (54, 56))",,,,,,,,,soon,"(42, 46)",,,,,,,,,1388
3043,"""Toys R Us is closing all stores and gift cards are soon-to-be or no longer have value.""",0.7614217007482424,,,all stores,"(27, 37)",are to be,"((38, 41), (49, 51), (54, 56))",,,,,,,,,soon,"(42, 46)",,,,,,,,,1388
3044,"""Toys R Us is closing all stores and gift cards are soon-to-be or no longer have value.""",0.1948871917044894,,,Us,"(13, 15)",is closing,"(16, 26)",,,,,,,,,,,,,,,,,,,1388
3049,"""Police in Wilmington, Delaware shot and killed a man who was in a wheelchair at the time of the encounter.""",0.9126241552108846,,,a man,"(7, 12)",was,"(17, 20)",in a wheelchair,"(21, 36)",,,,,,,at the time of the encounter,"(37, 65)",,,,,,,,,1391
3050,"""Police in Wilmington, Delaware shot and killed a man who was in a wheelchair at the time of the encounter.""",0.8171594310915548,,,Delaware,"(29, 37)",shot,"(38, 42)",,,,,,,,,,,,,,,,,,,1391
3059,"""Airlines are giving away free tickets or spending money to Facebook users who share and like a page.""",0.7582513716504754,,,Facebook users,"(18, 32)",share,"(37, 42)",,,,,,,,,,,,,,,,,,,1398
3060,"""Airlines are giving away free tickets or spending money to Facebook users who share and like a page.""",0.8942434158739456,,,Airlines,"(6, 14)",are giving away,"(15, 30)",free tickets,"(31, 43)",,,,,,,,,,,,,,,,,1398
3152,"""The Trump administration blocked public access to USDA reports on safety and hygiene standards at facilities where animals are kept and bred.""",0.9640827750857294,,,The Trump administration,"(6, 30)",blocked,"(31, 38)",public access to USDA reports on hygiene standards at facilities,"(39, 103)",,,,,,,,,,,,,,,,,1449
3153,"""The Trump administration blocked public access to USDA reports on safety and hygiene standards at facilities where animals are kept and bred.""",0.767232639114143,,,facilities,"(92, 102)",bred,"(103, 107)",,,,,,,,,,,,,,,,,,,1449
3154,"""The Trump administration blocked public access to USDA reports on safety and hygiene standards at facilities where animals are kept and bred.""",0.9436221120476838,,,The Trump administration,"(6, 30)",blocked,"(31, 38)",public access to USDA,"(39, 60)",,,,,,,,,,,,,,,,,1449
3155,"""The Trump administration blocked public access to USDA reports on safety and hygiene standards at facilities where animals are kept and bred.""",0.926410645929876,,,animals,"(109, 116)",are kept,"(117, 125)",,,,,,,,,,,,,,,facilities,"(92, 102)",,,1449
3156,"""The Trump administration blocked public access to USDA reports on safety and hygiene standards at facilities where animals are kept and bred.""",0.9640827750857294,,,The Trump administration,"(6, 30)",blocked,"(31, 38)",public access to USDA reports on safety standards at facilities,"(39, 102)",,,,,,,,,,,,,,,,,1449
3173,"""In February 2018, the owners of a café in Oakland, California said they would not be serving police officers and would be asking them to leave.""",0.1948871917044894,,,them,"(91, 95)",to leave,"(96, 104)",,,,,,,,,,,,,,,,,,,1459
3174,"""In February 2018, the owners of a café in Oakland, California said they would not be serving police officers and would be asking them to leave.""",0.9528101173373266,,,the owners of a café in Oakland,"(25, 56)",would be asking,"(75, 90)",them,"(91, 95)",to leave,"(96, 104)",,,,,In February 2018,"(6, 22)",,,,,,,,,1459
3175,"""In February 2018, the owners of a café in Oakland, California said they would not be serving police officers and would be asking them to leave.""",0.8615585111461579,,,California,"(59, 69)",said,"(70, 74)",would be asking them to leave,"(75, 104)",,,,,,,,,,,,,,,,,1459
3176,"""In February 2018, the owners of a café in Oakland, California said they would not be serving police officers and would be asking them to leave.""",0.5520449397565844,California said,"(59, 74)",they,"(75, 79)",would not be serving,"(80, 100)",police officers,"(101, 116)",,,,,,,,,,,,,,,,,1459
3177,"""In February 2018, the owners of a café in Oakland, California said they would not be serving police officers and would be asking them to leave.""",0.911486985283416,,,California,"(59, 69)",said,"(70, 74)",they would not be serving police officers,"(75, 116)",,,,,,,In February 2018,"(6, 22)",,,,,,,,,1459
3178,"""A mandatory gun ownership law in Kennesaw, Georgia, caused the town's crime rate to plummet.""",0.7454190571634093,A mandatory gun ownership law in Kennesaw caused,"(3, 61)",the town's crime rate,"(62, 83)",to plummet,"(84, 94)",,,,,,,,,,,,,,,,,,,1460
3179,"""A mandatory gun ownership law in Kennesaw, Georgia, caused the town's crime rate to plummet.""",0.9326912610490896,,,A mandatory gun ownership law in Kennesaw,"(3, 44)",caused,"(55, 61)",the town's crime rate to plummet,"(62, 94)",,,,,,,,,,,,,,,,,1460
3180,"""A transgender woman raped a young girl in a women's bathroom because bills were passed allowing transgender people to use bathrooms which correspond with their gender.""",0.7955801501517452,A transgender woman raped allowing,"(3, 98)",transgender people,"(99, 117)",to use,"(118, 124)",bathrooms which correspond with their gender,"(125, 169)",,,,,,,,,,,,,,,,,1461
3181,"""A transgender woman raped a young girl in a women's bathroom because bills were passed allowing transgender people to use bathrooms which correspond with their gender.""",0.8375624398393795,A transgender woman raped,"(3, 28)",A transgender woman,"(3, 22)",raped a young girl allowing,"((23, 28), 29)",transgender people to use bathrooms,"(99, 134)",,,,,,,,,,,,,,,,,1461
3182,"""A transgender woman raped a young girl in a women's bathroom because bills were passed allowing transgender people to use bathrooms which correspond with their gender.""",0.9268209703087316,,,A transgender woman,"(3, 22)",raped,"(23, 28)",a young girl,"(29, 41)",because bills were passed allowing transgender people to use bathrooms,"(64, 134)",,,,,,,,,,,in a women's bathroom,"(42, 63)",,,1461
3183,"""A transgender woman raped a young girl in a women's bathroom because bills were passed allowing transgender people to use bathrooms which correspond with their gender.""",0.6774362725383181,,,bathrooms,"(125, 134)",correspond,"(141, 151)",,,,,,,,,,,,,,,,,,,1461
3184,"""A transgender woman raped a young girl in a women's bathroom because bills were passed allowing transgender people to use bathrooms which correspond with their gender.""",0.5611367476827249,,,bills,"(72, 77)",were passed,"(78, 89)",,,,,,,,,,,,,,,,,,,1461
3188,"""A photograph shows a man posing with a bear that he killed while it was hibernating, an act made legal by the passage of a new law.""",0.1948871917044894,,,it,"(68, 70)",was hibernating,"(71, 86)",,,,,,,,,,,,,,,,,,,1463
3189,"""A photograph shows a man posing with a bear that he killed while it was hibernating, an act made legal by the passage of a new law.""",0.8103687806061152,,,a bear,"(40, 46)",killed,"(55, 61)",,,,,,,,,while it was hibernating,"(62, 86)",,,,,,,,,1463
3190,"""A photograph shows a man posing with a bear that he killed while it was hibernating, an act made legal by the passage of a new law.""",0.9030401971054748,,,a man,"(22, 27)",posing,"(28, 34)",with a bear,"(35, 46)",,,,,,,,,,,,,,,,,1463
3191,"""A photograph shows a man posing with a bear that he killed while it was hibernating, an act made legal by the passage of a new law.""",0.9251282565798028,,,A photograph,"(3, 15)",shows,"(16, 21)",a man posing with a bear,"(22, 46)",,,,,,,,,,,,,,,,,1463
3196,"""A pedophile who was part of a gang that drugged and raped babies was found dead in his prison cell with his penis chopped off.""",0.8336484573124053,,,A pedophile who was part of a gang raped babies,"(6, 53)",chopped off,"(103, 114)",,,,,,,,,,,,,,,,,,,1466
3197,"""A pedophile who was part of a gang that drugged and raped babies was found dead in his prison cell with his penis chopped off.""",0.9163318243165532,,,A pedophile who was part of a gang raped babies,"(6, 53)",was found,"(54, 63)",dead,"(64, 68)",,,,,,,,,,,,,in his prison cell with his penis,"(69, 102)",,,1466
3198,"""A pedophile who was part of a gang that drugged and raped babies was found dead in his prison cell with his penis chopped off.""",0.9432816123537144,,,A pedophile who was part of a gang,"(6, 40)",raped,"(41, 46)",babies,"(47, 53)",,,,,,,,,,,,,,,,,1466
3199,"""A pedophile who was part of a gang that drugged and raped babies was found dead in his prison cell with his penis chopped off.""",0.34126987926214963,,,his penis,"(93, 102)",chopped off,"(103, 114)",,,,,,,,,,,,,,,,,,,1466
3200,"""A pedophile who was part of a gang that drugged and raped babies was found dead in his prison cell with his penis chopped off.""",0.8841370474452133,,,A pedophile who was part of a gang,"(6, 40)",was found,"(54, 63)",dead,"(64, 68)",,,,,,,with his penis chopped off,"(88, 114)",,,,,in his prison cell,"(69, 87)",,,1466
3201,"""A pedophile who was part of a gang that drugged and raped babies was found dead in his prison cell with his penis chopped off.""",0.9213910743693354,,,A pedophile,"(6, 17)",drugged,"(46, 53)",a gang,"(34, 40)",,,,,,,,,,,,,,,,,1466
3202,"""A pedophile who was part of a gang that drugged and raped babies was found dead in his prison cell with his penis chopped off.""",0.9126241552108846,,,A pedophile,"(6, 17)",was,"(22, 25)",part of a gang,"(26, 40)",,,,,,,,,,,,,,,,,1466
3204,"""Scammers pay with cashier's checks larger than the purchase price and ask the balances be sent to third parties.""",0.7130135287477929,,,Scammers,"(6, 14)",pay,"(15, 18)",,,,,,,,,,,,,,,,,,,1468
3217,"""On NBC’s Today program, Billy Graham’s daughter said to Bryant Gumbel that “We need to make up our mind — do we want God or do we not want Him . . . We cannot just ask Him in when disaster strikes.”""",0.2560951955542683,Billy Graham 's daughter said,"(32, 61)",We,"(104, 106)",can not just ask,"(107, 123)",Him,"(124, 127)",,,,,,,in,"(128, 130)",when disaster strikes,"(131, 152)",,,,,,,1473
3218,"""On NBC’s Today program, Billy Graham’s daughter said to Bryant Gumbel that “We need to make up our mind — do we want God or do we not want Him . . . We cannot just ask Him in when disaster strikes.”""",0.8851069154259285,,,Billy Graham 's daughter,"(32, 56)",said,"(57, 61)",to Bryant Gumbel,"(62, 78)",do we not want Him,"(79, 97)",,,,,,,,,,,,,,,1473
3219,"""On NBC’s Today program, Billy Graham’s daughter said to Bryant Gumbel that “We need to make up our mind — do we want God or do we not want Him . . . We cannot just ask Him in when disaster strikes.”""",0.8186056830955976,We can not just ask,"(137, 156)",Billy Graham 's daughter,"(32, 56)",said,"(57, 61)",to Bryant Gumbel,"(62, 78)",that  We need to make up our mind - do we want God,"(79, 130)",,,,,,,,,,,,,,,1473
3220,"""On NBC’s Today program, Billy Graham’s daughter said to Bryant Gumbel that “We need to make up our mind — do we want God or do we not want Him . . . We cannot just ask Him in when disaster strikes.”""",0.2560951955542683,,,We,"(137, 139)",can not just ask,"(140, 156)",Him,"(157, 160)",in,"(161, 163)",,,,,when disaster strikes,"(164, 185)",,,,,,,,,1473
3221,"""On NBC’s Today program, Billy Graham’s daughter said to Bryant Gumbel that “We need to make up our mind — do we want God or do we not want Him . . . We cannot just ask Him in when disaster strikes.”""",0.7130135287477929,,,disaster,"(169, 177)",strikes,"(178, 185)",,,,,,,,,,,,,,,,,,,1473
3231,"""Baby Orajel can cause infants to stop breathing and turn blue.""",0.9266232318014764,,,Baby Orajel,"(6, 17)",can cause,"(18, 27)",turn blue,"(28, 37)",,,,,,,,,,,,,,,,,1478
3232,"""Baby Orajel can cause infants to stop breathing and turn blue.""",0.6566728579703915,Baby Orajel can cause infants to stop,"(6, 43)",infants,"(28, 35)",to stop breathing breathing,"((36, 43), (44, 53))",,,,,,,,,,,,,,,,,,,1478
3233,"""Baby Orajel can cause infants to stop breathing and turn blue.""",0.696492924306328,Baby Orajel can cause,"(6, 27)",infants,"(28, 35)",to stop,"(36, 43)",breathing,"(44, 53)",,,,,,,,,,,,,,,,,1478
3234,"""Baby Orajel can cause infants to stop breathing and turn blue.""",0.9067325661703172,,,Baby Orajel,"(6, 17)",can cause,"(18, 27)",infants to stop breathing,"(28, 53)",,,,,,,,,,,,,,,,,1478
3289,"""Breyers ice cream doesn't melt.""",0.7508836390842847,,,Breyers ice cream,"(3, 20)",does n't melt,"(21, 33)",,,,,,,,,,,,,,,,,,,1505
3296,"""Some Instant Pot cookers are overheating and having meltdowns.""",0.8182346120370801,,,Some Instant Pot cookers,"(6, 30)",are overheating,"(31, 46)",,,,,,,,,,,,,,,,,,,1510
3375,"""Senator Marco Rubio said both that felons should not be allowed to vote and that they should be allowed to own guns.""",0.2735786399569868,Senator Marco Rubio said,"(6, 30)",they,"(36, 40)",should be allowed,"(41, 58)",,,,,,,,,,,,,,,,,,,1546
3376,"""Senator Marco Rubio said both that felons should not be allowed to vote and that they should be allowed to own guns.""",0.6883043230495167,,,Senator Marco Rubio,"(6, 25)",said,"(26, 30)",that they should be allowed to own guns,"(31, 70)",,,,,,,,,,,,,,,,,1546
3377,"""Senator Marco Rubio said both that felons should not be allowed to vote and that they should be allowed to own guns.""",0.5750411108691293,,,they,"(36, 40)",to own,"(59, 65)",guns,"(66, 70)",,,,,,,,,,,,,,,,,1546
3378,"""Senator Marco Rubio said both that felons should not be allowed to vote and that they should be allowed to own guns.""",0.6654767153654512,Senator Marco Rubio said,"(6, 30)",felons,"(41, 47)",should not be allowed,"(48, 69)",,,,,,,,,,,,,,,,,,,1546
3379,"""Senator Marco Rubio said both that felons should not be allowed to vote and that they should be allowed to own guns.""",0.802693657308823,,,Senator Marco Rubio,"(6, 25)",said,"(26, 30)",both that felons should not be allowed to vote,"(31, 77)",,,,,,,,,,,,,,,,,1546
3380,"""Senator Marco Rubio said both that felons should not be allowed to vote and that they should be allowed to own guns.""",0.6774362725383181,,,felons,"(41, 47)",to vote,"(70, 77)",,,,,,,,,,,,,,,,,,,1546
3381,"""Nikolas Cruz, the confessed gunman in the February 2018 school shooting in Parkland, Florida, is or was a member of a known white supremacist or white nationalist organization.""",0.4953178616921359,,,Nikolas Cruz,"(6, 18)",(is] the confessed gunman in,"(21, 44)",the February 2018 school shooting,"(45, 78)",,,,,,,,,,,,,,,,,1547
3382,"""Nikolas Cruz, the confessed gunman in the February 2018 school shooting in Parkland, Florida, is or was a member of a known white supremacist or white nationalist organization.""",0.9085032903183424,,,the confessed gunman in the February 2018 school shooting in Parkland,"(21, 90)",is,"(103, 105)",,,,,,,,,,,,,,,,,,,1547
3397,"""In Iowa, blind people are legally allowed to own and possess firearms.""",0.957537172965877,,,"In Iowa , blind people are legally allowed","(6, 48)",possess,"(49, 56)",firearms,"(57, 65)",,,,,,,,,,,,,,,,,1552
3398,"""In Iowa, blind people are legally allowed to own and possess firearms.""",0.6981802672629641,,,blind people,"(16, 28)",to own,"(49, 55)",,,,,,,,,,,,,,,,,,,1552
3399,"""In Iowa, blind people are legally allowed to own and possess firearms.""",0.9434557697760652,,,blind people,"(16, 28)",are legally allowed,"(29, 48)",,,,,,,,,,,,,,,In Iowa,"(6, 13)",,,1552
3400,"""An image contrasts radically different gun laws and homicide rates in Honduras and Switzerland.""",0.9180804252893388,,,An image,"(6, 14)",contrasts,"(15, 24)",homicide rates in Switzerland,"(25, 54)",,,,,,,,,,,,,,,,,1553
3401,"""An image contrasts radically different gun laws and homicide rates in Honduras and Switzerland.""",0.7323734373534755,,,An image,"(6, 14)",contrasts,"(15, 24)",,,,,,,,,,,,,,,,,,,1553
3402,"""NRA spokesperson Dana Loesch tweeted ""I bet [CNN reporter] Rick Sanchez was fired by a Jew.""""",0.3808945036672451,,,Dana Loesch,"(20, 31)",(is] spokesperson (of],"(7, 19)",NRA,"(3, 6)",,,,,,,,,,,,,,,,,1554
3403,"""NRA spokesperson Dana Loesch tweeted ""I bet [CNN reporter] Rick Sanchez was fired by a Jew.""""",0.9237830516186404,NRA spokesperson Dana Loesch tweeted I bet,"(3, 47)",Rick Sanchez,"(63, 75)",was fired,"(76, 85)",by a Jew,"(86, 94)",,,,,,,,,,,,,,,,,1554
3404,"""NRA spokesperson Dana Loesch tweeted ""I bet [CNN reporter] Rick Sanchez was fired by a Jew.""""",0.4664779069353108,NRA spokesperson Dana Loesch tweeted,"(3, 39)",I,42,bet,"(44, 47)",Rick Sanchez was fired by a Jew,"(63, 94)",,,,,,,,,,,,,,,,,1554
3405,"""NRA spokesperson Dana Loesch tweeted ""I bet [CNN reporter] Rick Sanchez was fired by a Jew.""""",0.7821618965236337,,,NRA spokesperson Dana Loesch,"(3, 31)",tweeted,"(32, 39)",,,,,,,,,,,,,,,,,,,1554
3450,"""The animated TV show 'SpongeBob SquarePants' has been canceled.""",0.7372865414614487,,,The animated TV show,"(3, 23)",has been canceled,"(48, 65)",,,,,,,,,,,,,,,,,,,1572
3462,"""Billy Graham said ""All homosexuals should be castrated.""""",0.6866340513862939,Billy Graham said,"(3, 20)",All homosexuals,"(23, 38)",should be castrated,"(39, 58)",,,,,,,,,,,,,,,,,,,1579
3463,"""Billy Graham said ""All homosexuals should be castrated.""""",0.8939303222279229,,,Billy Graham,"(3, 15)",said,"(16, 20)",All homosexuals should be castrated,"(23, 58)",,,,,,,,,,,,,,,,,1579
3509,"""Congresswoman Maxine Waters tweeted that there was no reason for anyone to own a gun because she has an armed security detail.""",0.765249192688895,,,Congresswoman Maxine Waters,"(3, 30)",tweeted,"(31, 38)",,,,,,,,,,,,,,,,,,,1597
3510,"""Congresswoman Maxine Waters tweeted that there was no reason for anyone to own a gun because she has an armed security detail.""",0.5222094630377523,,,she,"(96, 99)",has,"(100, 103)",an armed security detail,"(104, 128)",,,,,,,,,,,,,,,,,1597
3511,"""Congresswoman Maxine Waters tweeted that there was no reason for anyone to own a gun because she has an armed security detail.""",0.8942434158739456,,,anyone,"(68, 74)",to own,"(75, 81)",a gun,"(82, 87)",,,,,,,,,,,,,,,,,1597
3512,"""A black woman named Amelia Bassano has been proved the true (uncredited) author of all of William Shakespeare's plays.""",0.8452337900879183,,,A black woman named Amelia Bassano,"(3, 37)",has been proved,"(38, 53)",,,,,,,,,,,,,,,,,,,1598
3513,"""A black woman named Amelia Bassano has been proved the true (uncredited) author of all of William Shakespeare's plays.""",0.9250606141558616,,,A black woman,"(3, 16)",named,"(17, 22)",Amelia Bassano,"(23, 37)",,,,,,,,,,,,,,,,,1598
3523,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.7267481344945882,more U.S. presidents kept,"(6, 33)",more U.S. presidents,"(6, 26)",kept live alligators live,"((29, 33), (34, 38))",,,,,,,,,,,,,,,,,,,1603
3524,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.8669933351684326,,,more U.S. presidents,"(6, 26)",kept,"(29, 33)",live alligators,"(34, 49)",on its grounds,"(50, 64)",,,,,,,,,,,,,,,1603
3525,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.7267481344945882,One U.S. presidents kept,"(6, 32)",One U.S. presidents,"(6, 25)",kept live alligators live,"((28, 32), (33, 37))",,,,,,,,,,,,,,,,,,,1603
3526,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.8669933351684326,,,One U.S. presidents,"(6, 25)",kept,"(28, 32)",live alligators,"(33, 48)",on its grounds,"(49, 63)",,,,,,,,,,,,,,,1603
3527,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.7755203445549392,,,more U.S. presidents,"(6, 26)",live,"(34, 38)",,,,,,,,,,,,,,,,,,,1603
3528,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.7755203445549392,,,One U.S. presidents,"(6, 25)",live,"(33, 37)",,,,,,,,,,,,,,,,,,,1603
3529,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.5006143293617585,,,members of their families,"(0, 25)",kept,"(28, 32)",live,"(33, 37)",on its grounds,"(49, 63)",,,,,,,,,,,,,,,1603
3530,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.2984491633187598,members of their families kept,"(0, 32)",members of their families,"(0, 25)",kept live live,"((28, 32), (33, 37))",,,,,,,,,,,,,,,,,,,1603
3531,"""One or more U.S. presidents (or members of their families) kept live alligators either in the White House or on its grounds.""",0.4037514842639167,,,members of their families,"(0, 25)",kept,"(28, 32)",live,"(33, 37)",,,,,,,,,,,,,,,,,1603
3534,"""Sylvester Stallone has passed away from prostate cancer.""",0.7877083798986204,,,Sylvester Stallone,"(3, 21)",has passed away,"(22, 37)",,,,,,,,,,,,,,,,,,,1605
3540,"""Metallica lead singer James Hetfield was photographed near a brown bear he shot and killed.""",0.7508836390842847,,,a brown bear,"(65, 77)",killed,"(78, 84)",,,,,,,,,,,,,,,,,,,1608
3541,"""Metallica lead singer James Hetfield was photographed near a brown bear he shot and killed.""",0.3808945036672451,,,James Hetfield,"(28, 42)",(is] lead singer (of],"(16, 27)",Metallica,"(6, 15)",,,,,,,,,,,,,,,,,1608
3542,"""Metallica lead singer James Hetfield was photographed near a brown bear he shot and killed.""",0.9177261156516936,,,a brown bear,"(65, 77)",shot,"(81, 85)",he,"(78, 80)",,,,,,,,,,,,,,,,,1608
3543,"""Metallica lead singer James Hetfield was photographed near a brown bear he shot and killed.""",0.9440561738862281,,,Metallica lead singer James Hetfield,"(6, 42)",was photographed,"(43, 59)",,,,,,,,,,,,,,,near a brown bear,"(60, 77)",,,1608
3590,"""Donald Trump was pictured at a cross burning with the KKK.""",0.7323734373534755,,,a cross,"(32, 39)",burning,"(40, 47)",,,,,,,,,,,,,,,,,,,1628
3591,"""Donald Trump was pictured at a cross burning with the KKK.""",0.9266232318014764,,,Donald Trump,"(3, 15)",was pictured,"(16, 28)",,,,,,,,,,,,,,,at a cross,"(29, 39)",,,1628
3592,"""People are being victimized by scammers who call and ask ""Can you hear me?"" and record the ""yes"" response in order to use it to authorize fake charges.""",0.7358870924450138,,,scammers,"(31, 39)",call,"(44, 48)",,,,,,,,,,,,,,,,,,,1629
3593,"""People are being victimized by scammers who call and ask ""Can you hear me?"" and record the ""yes"" response in order to use it to authorize fake charges.""",0.8942434158739456,,,People,"(0, 6)",are being victimized,"(7, 27)",by scammers,"(28, 39)",,,,,,,,,,,,,,,,,1629
3607,"""An Instagram account linked to suspected shooter Nikolas Cruz featured an avatar that included a ""MAGA"" hat.""",0.9045207649554154,,,an avatar,"(74, 83)",included,"(89, 97)",a MAGA hat,"(98, 112)",,,,,,,,,,,,,,,,,1637
3608,"""An Instagram account linked to suspected shooter Nikolas Cruz featured an avatar that included a ""MAGA"" hat.""",0.8923353827212097,,,An Instagram account,"(3, 23)",featured,"(65, 73)",an avatar that included a MAGA hat,"(74, 112)",,,,,,,,,,,,,,,,,1637
