degree
6
2
1
5
3
15
3
5
7
5
490
62
73
19
31
9
7
13
1650
279
2
5
5
7
13
11
2
3
1131
5
13
31
77
52
3
80
5
5
37
24
54
9
60
44
5
2
4
4
10
17
4
8
13
5
6
15
17
5
5
41
4
27
13
11
8
4
12
4
3
2
3
7
5
8
3
4
4
7
5
4
4
11
5
3
3
2
7
2
18
10
2
3
11
4
3
2
2
5
2
3
6
8
8
31
2
3
2
3
3
1
6
2
4
5
3
2
2
6
7
3
3
2
3
3
2
6
9
4
7
23
2
4
3
2
2
2
7
14
5
7
4
28
28
5
1
5
3
5
6
2
3
51
11
23
5
4
1
1466
4
1
5
312
32
71
137
19
166
34
11
6
10
4
9
4
4
22
24
21
26
3
627
234
130
6
58
3
5
11
18
23
31
4
16
12
32
6
11
10
134
40
50
22
115
107
5
5
119
8
7
6
5
13
4
3
10
6
8
4
19
1
22
1
24
26
10
9
26
7
6
38
24
15
37
6
85
9
9
12
5
16
51
107
14
1
5
4
8
8
3
6
12
8
13
31
12
17
7
5
7
15
20
36
5
4
7
6
3
4
6
30
3
16
28
6
35
11
8
10
53
9
49
9
38
73
36
22
3
4
14
25
14
11
12
5
35
4
72
10
18
18
4
5
12
5
8
8
20
26
7
5
9
5
3
9
4
5
24
3
17
10
2
14
7
4
7
3
13
27
12
22
19
23
4
14
4
28
26
3
6
105
1
10
15
30
6
29
5
1
11
15
5
7
8
8
14
1
7
5
5
5
4
10
5
5
18
5
16
22
49
5
3
3
7
78
5
8
12
4
11
16
4
25
5
4
6
3
4
3
14
3
23
23
8
13
11
7
4
23
12
5
53
14
3
8
18
24
7
12
5
6
5
39
51
5
6
15
6
25
5
11
7
19
3
6
12
13
47
6
8
4
7
11
10
4
4
11
1
5
5
8
14
2
6
4
7
19
10
6
5
7
8
6
5
4
11
14
4
3
4
4
11
4
5
6
3
6
4
17
4
9
5
7
5
16
5
5
6
10
5
15
5
16
13
6
13
4
10
7
3
16
4
2
19
4
5
4
2
5
22
5
5
19
40
3
21
4
4
4
5
6
6
18
8
5
9
6
3
7
5
14
4
22
4
5
15
14
5
4
5
30
11
4
5
5
8
7
6
10
9
16
5
5
5
14
4
7
6
4
8
6
6
13
22
32
7
6
20
5
17
6
11
4
2
4
